Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-102985.36578314017,-53465.12260421376,62198.8164525625,10867.760168834779,4449.449517416871,4069.667833814499,-981.1049736053491,1976.9689097438861,1611.6499767975606,2627.885752653558
-112602.67177609069,-66937.66847183925,80358.9997198809,10825.61085599015,6122.807318234273,5174.693194330727,-2340.2615321074486,3696.7549867550865,2500.2067957312356,3473.27850102341
-115439.74655780366,-67067.91191503394,80985.52803189142,10799.074356747027,5951.306704602102,5027.300612896772,-1950.9070289742947,3656.676403501106,2396.367649554723,3651.0058332769268
-8511.054648699126,111644.07087587049,-17826.09249797199,-36930.62963901069,-8788.9974665448,-17377.290701627244,2395.6588401724603,-15390.755277913377,27749.89036112722,12111.664303535112
-108456.29242155269,-66121.70062972214,78712.9575567796,10671.625634486556,5842.247186777722,5002.97412205578,-1781.9065594096876,3812.2521495622327,2646.067083213348,3313.3482289059007
-112588.78618808693,-66358.58373243155,79570.2066156392,11438.812960028932,6613.9023682665875,5172.61271984288,-2145.8442695015588,3638.2815896958655,2403.4901530744014,3489.824377752852
-113532.11094261259,-66705.05702426117,80222.12221308645,11045.38468748857,6508.831028916183,5248.48688807512,-2108.711684792799,3714.437311584776,2454.2871949702917,3651.182338576791
-123782.94736628598,-65071.42229931974,78075.17260829799,10251.820518639683,5343.858066056979,4660.991980434432,-916.9275352568218,3093.121002796781,190.79813830169232,4705.80816981742
-112304.61699958185,-66739.651544759,79887.11103042339,11108.14935813491,5801.6273595232615,4959.8068444116025,-1862.7230565415257,3845.572510519127,2236.827937281695,3513.5796277830573
-67945.55011375071,59739.78440441255,-45150.90373274189,124048.0475841563,8791.856461892155,1294.3767475702768,3964.6537994379187,-11852.11148816022,-1766.8868123830703,-21559.77611805928
-111895.079203652,-66976.58752123862,80350.2026872785,10406.342836676815,5598.878223380252,4822.708078693687,-1725.7095205028716,3680.099294384526,2406.8942094641275,3731.087654168325
-111511.19976552334,-64244.94998915461,76757.75819275239,11817.309200550593,5947.071924532196,4725.848684897899,-1677.7114253154755,3387.294037558646,2393.779070666145,3046.125638475996
-112460.74422177726,-66013.46717675574,79181.17949581062,11072.322460974961,5769.070555843239,5080.764454839385,-1535.090939814729,4079.1087941151277,2557.288972465471,3901.9039046139014
-111203.13933121854,-66566.16831764653,79716.63523498517,10695.485072698284,5928.917058453373,4892.263281093927,-2092.6522264925816,3924.084248714065,2301.5009592400975,3515.859597828966
-111285.67774160893,-64661.798764654195,76259.78697400386,16373.675426516496,6735.21517682228,5318.698471881702,-1795.1088978515158,3720.7193493951295,2810.5239700635143,3312.4140637185637
-112791.86437394764,-66512.0508783524,79700.57952698792,11039.339253004608,6097.98699579613,5081.202207360269,-1903.3668863902553,3450.439073984317,1998.7341246652115,3629.601784036925
-112647.65760521434,-66719.583672765,80020.5225645948,11210.775090704421,6031.540574941651,5067.374533595713,-1885.836598000406,3503.1376655415224,2243.623904520275,3866.77173765506
-112429.82873597354,-66486.94199481845,80428.26937541716,10789.583645810822,6048.593110280695,5154.295809665672,-1715.048538910722,3494.2414541991607,2324.231319173199,3507.014984926326
78354.2069917765,83758.16362973952,-117741.83203089877,-8523.560838935893,-11422.712891024185,-9085.3111298795,11130.514590762465,-4162.325067993745,-10579.782692885154,-13475.191057375334
-101673.90854413605,-56194.03124294509,67862.25967122083,8513.263195846588,1712.89239080786,7932.120334013927,-1403.3473380195662,1671.4597319632298,1766.0960389338995,1619.641426081407
-112618.65572223041,-66234.41686666693,80128.78898640985,10463.393889404344,5773.418739544192,5035.840786759799,-2075.7521057577965,3494.6407114978715,2298.757283696688,3500.5132135353056
