Component 1,Component 2,Component 3,Component 4,Component 5
-126610.28472728768,-56625.11863575343,73116.42362715588,8343.143254788032,5180.443878954929
-114845.80601401551,-66045.6019398626,79692.27209574,11585.04548784607,5817.221162464732
-112796.36768931692,-67126.25988380247,80579.24205251601,10834.397829151098,5961.31750250585
-99241.11387781073,-50678.7255738822,55034.105483983665,5024.182392524352,779.4223510548144
-134799.26669163047,-67742.54599382491,82520.54032552663,9140.543460271876,4569.693560897787
-109629.61567840978,-65318.44828619423,77121.80878128001,9879.224075984826,4830.933980223713
-110760.89026255845,-65427.82148314006,78098.42342683676,10520.509118885744,6007.393358192779
-112072.41498706359,-65967.01824104034,79550.27866200071,10140.504119838035,6204.382064528773
-115995.4939575932,-67112.88490048978,80762.89987317246,11034.177597663494,5793.718664557797
-123931.43159372419,-69234.38711534938,84040.28619639542,10304.71239197314,6089.488127146635
-109506.89520338921,-64886.95246099218,76853.5322377877,9629.654420486711,6644.703115193882
-111595.87244640842,-66743.28698997799,80196.0030851378,10651.7832975259,5863.912543724242
150329.35985453203,218179.03996935938,-290023.6828432417,70008.82969744633,-36436.03404218156
-109220.65608614853,-66535.02993031443,79823.80230189349,10866.354560597467,6124.353948334453
-112359.92875061058,-66204.61173606623,79468.22964561434,11460.539488358028,6243.446333803748
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-111997.22601980445,-65248.376837995376,78257.9934492227,10989.685131096809,6290.234456802453
-113062.3186912335,-66638.03884552047,80595.91023765891,10827.00289164874,5860.870185440394
-92958.6683164623,-39767.336084295974,42932.47191659458,13712.365981320214,2670.8662693995684
-112655.02985598026,-66606.66394350612,80568.39696602279,10483.962541660783,6160.879321998584
-112229.97120975141,-66656.39950462498,79710.83004818282,11492.195289286437,5504.451818216916
-69823.41057684552,-9171.829296619473,13002.198334037335,-667.0143239775576,-4497.61168363866
-110080.55107926101,-62985.46206578218,75000.25517019998,10607.550389452523,4827.512472294108
263762.7124482251,-54992.9831909848,23891.895311221604,-21694.188520252126,4517.723510676545
-112259.55024400426,-66664.03609249102,80098.85612635817,11249.982055688117,5908.0792641264425
-114747.9185779103,-67527.55689348617,80601.81650727427,9710.045489779099,5783.293831329485
-111032.34089564891,-66918.73744877375,80343.97139810465,10174.579538752914,5822.930306541114
-112864.12603896135,-65672.54489536905,79103.31083939398,10663.367869536838,5663.92268729696
-86324.50280261294,-35147.78321890595,41301.65203127816,-4946.118514066435,4339.950653387256
-112694.32914864262,-66508.3680131557,80258.29925054469,11028.970724663146,6261.320271186212
-138584.32565244075,-70651.50683153578,87176.72408518124,10697.813570456889,6348.111364720577
-127431.34540120933,-69199.45503056706,84709.7766780807,10193.529234670646,5935.455317575883
-110099.31773450297,-66160.54211934008,79237.98989096584,10987.311365550582,6095.437037208605
-127328.18129060825,-69246.4788445215,84725.55881899764,9609.276741023165,5826.73512394691
-112664.37353212126,-66794.1600110396,79848.55889327904,11127.639108020143,5945.813844225833
-112500.05970054146,-66400.33198110666,79636.59743464463,10515.22277517649,6084.035372397369
-115125.27330181524,-66523.88121702011,80481.74507281191,10724.727126056776,6102.767497397938
-130141.02970847223,-68703.18160505062,84180.9904730659,9983.649439014776,5929.70094223811
-102645.71179377045,-48578.22900057582,56235.933068337225,16527.959120520794,3856.686463281947
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-115032.43101947592,-66918.44721297355,81473.23286555852,10823.298842390626,6174.454762729989
-108638.62606854545,-64623.2763671629,77341.79023272454,10831.027785520193,5543.82150665798
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-111659.72174660422,-66746.94270804466,80163.08655290377,10677.350083095702,6150.612382764557
-92392.98027520785,-33647.91705519971,33857.66024087715,36588.78160662345,7850.911232942118
-110449.00721412289,-65139.824824117466,77790.17828094886,9399.225358901072,5562.107068469675
-41905.406144029614,-53547.33477783828,55474.557988906214,-9218.853501087333,668.9109167591546
470469.33802292944,707036.2785370152,-951643.8762412509,316291.98500008957,-103711.88149862082
-111998.76407483671,-66503.43384697053,79563.38013766007,11046.645370383018,5800.563418389997
-111044.79144943024,-66229.94496328967,79359.21501398215,10072.640096485013,5991.169504089173
-109533.08725031206,-60766.61747261359,71913.059762,14281.775972319498,5126.740522082041
-87932.87664843346,-58742.9001947771,68985.91349202702,9674.234800755636,4617.092624110005
-123700.69976458278,-66661.74993870336,81462.66779641632,11113.322470969557,6490.603686628732
-121060.11660097749,-69942.62222024049,84415.06443955973,8038.554939211888,4496.215600058321
-127374.09291331274,-69364.69860549096,84426.10051793318,10064.017399960221,6123.611284220165
-112085.30574653226,-66559.59677507608,80345.36532768667,10880.184039520323,5848.2098513009205
