Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25
64134.838017396854,-106994.17120297668,-50225.07906153475,-24685.106067048997,-80254.296334542,60309.146482068245,11388.376715697234,-761.8452261518137,417.61262783710276,2089.0207056439413,187.8118982226176,-15877.440171588314,-23879.512299996033,380.64622962387847,23880.601820119038,-3534.732104243141,-14088.0169907615,-3995.9564667750305,-27815.584581690444,-29071.210257104398,52263.74298831345,-3254.3283860386973,34770.76270374491,-68459.87232562141,-41313.26652158274
-66758.6947541291,89359.49126240915,11511.055785108796,1375.204055380279,-2657.519736551044,8430.007191576788,10257.305278572167,6918.528862628409,57.44028410414297,6251.6889762333485,2617.200247873806,3065.9728323774084,4134.01032857734,-4352.064750436538,-2845.264967995461,2788.519880842177,-4635.0135194678305,-2183.398673333079,7437.852223552591,-852.5713070351449,-2944.1302952312226,-3813.884098227275,3854.1966624425004,4839.295744411606,2182.0450260581742
-38617.07283693366,31828.228724795277,5490.418744969153,22145.200761678745,4848.518219652625,-26554.300878094524,13949.269987457443,433.96817115735945,-21642.548323343723,21929.022032118653,-11071.449398548031,-79.06255206455606,11723.34634520183,9534.114722682905,-16070.561917877816,193.20545419093145,4111.448985244333,-4891.074011674133,9588.742220178116,10542.242542237827,-5494.545124752703,-7701.09669124311,4692.308633561379,12721.217975069818,-2814.790342559951
-66352.74023570484,88377.12748288565,11051.951760937302,436.32132922470123,-2230.7395320601026,9251.34331315579,9109.671637676247,6721.549603250265,18.061608142404122,6065.06507182382,2687.206602114085,2854.0584064796863,4002.640044110975,-4211.34349747774,-2821.2045677412693,2943.8195119930383,-4764.2185455783465,-2082.752450182032,7189.185675493892,-1002.513589245136,-2774.8076010829336,-3838.732614616033,3853.283197923747,4633.857673455819,2169.7973290401023
-67026.63698539334,89383.664515374,11235.770622494696,379.23666994440015,-2735.278533125565,9029.662488852038,9153.740952163418,6771.833246075709,-31.938311977212834,6315.344863374171,2738.528829891591,2931.5806052907287,4033.068458903934,-4342.380467608165,-2826.187245734217,2846.4399744558864,-4790.67109687084,-2186.619011078341,7365.307982830654,-965.3981820332453,-2966.125864713889,-3771.2793199723337,3933.6938592677884,4647.280420248186,2148.0508649535686
-48903.152739523095,61793.93053040834,6311.0710943470995,-802.9951119757455,-2469.64730670499,6166.844784379092,6304.386450521436,4712.9131562340635,332.4413646073834,3914.30470899913,2156.5989278312736,1332.0438631776524,2315.7046092170617,-3165.0807693909837,-1887.6811629344636,2733.859753857207,-4054.539446776648,-1937.1956679286195,3977.658264074757,-1216.4089331436264,-1989.3546597972822,-2515.54554306108,2230.313929209476,2170.2882679840027,1746.3655430271515
-67191.73569961083,89637.5051507926,11686.826500478608,732.6081723363998,-2523.8221868238484,8900.129767131297,9015.077838554444,6745.077194648993,-17.990675754130823,6198.320751722002,2578.5790936254607,3064.822163458433,4184.232786293983,-4224.546254434092,-2937.708713968954,2848.18539750201,-4582.842943230116,-2111.07817258172,7424.8214331927,-809.8394671110417,-3057.3107286214126,-3830.954004754117,3708.6076417219124,4850.254977137403,2259.957523247645
-66461.89735147153,88744.44304169128,11244.484139476783,339.9800896347788,-2708.491315405281,8960.252016067674,8997.94828559525,6811.734376751338,79.46177394856306,6107.106272594038,2607.6685151472293,2859.5185533154627,3900.5450500143193,-4239.767656245307,-2783.585658393716,2829.0487086730714,-4723.626401719939,-2019.5797729034964,7286.710979000779,-969.822962904144,-3054.608781945206,-3671.146893690986,3849.733167557745,4489.8011491667885,2247.9805273875927
129939.08560282443,-22700.69740451013,19833.46601548112,5279.644612529453,4753.692847017297,-14188.168537042462,-3059.0794856962825,237.21140197399,11029.109972974073,815.1687715358175,1814.0345829532032,-12077.071555765446,-2561.444577246273,1467.2403592202104,5101.44245992067,1115.3454291266335,-838.8418364833924,893.237192104884,-14674.299930603847,-2977.153532142386,2556.839168660408,9837.736856228934,-7626.814678907631,-4770.603799797319,-1584.0885957973935
-67489.30271069777,90107.0839478718,11337.880258001385,359.91443515617294,-2769.9492201144267,9179.551130658414,9279.581035333895,6844.58338134287,-3.656056518657344,6239.279605309777,2663.777555512902,3044.6773775872534,4125.355124184194,-4358.3669197541085,-2946.764065343759,2848.352075665533,-4720.607801398796,-2104.43687779022,7398.094778337581,-917.3977149771738,-2922.6979213864965,-3602.079875204566,3953.406548533326,4594.816663156336,2081.32724913025
-65942.23103798483,87856.15031720055,10408.642175780735,-606.5599375347381,-3205.106934610156,9267.837650815713,9372.867363201785,6701.287290873301,11.525369810408707,6101.899714938117,2599.4618205833012,2979.772723543297,3946.9066383587165,-4248.925175981054,-2803.8574262749694,2818.0502473426964,-4671.208126828197,-2156.783408793707,7106.314035131681,-1018.0763572291404,-2367.4225986817933,-3694.2856151333026,3934.1516073544717,4460.215351260008,2013.9474927194667
-66658.32038239147,88897.06559881594,10839.857472334363,-168.70386342930811,-3025.647169359296,9249.066050997082,9360.523690771346,6759.721006882929,15.024439708160484,6193.33925309798,2651.3340698647453,2962.5777024735603,4013.96057353413,-4318.49104908085,-2857.3898915119476,2848.507704350384,-4772.079172641264,-2104.0084784468004,7247.695108881638,-1024.8772324192453,-2832.8242869067467,-3648.8793242221104,4012.2470658216625,4392.453676266516,2017.9004040667464
-55498.742409139,68427.0146086438,7444.927890876467,1915.9902567129225,-1423.8938851307287,4978.821717981525,4385.875977007931,2874.9522134430636,971.3388389321517,3876.631464689484,-680.7042618220631,3928.353718400975,2759.425203586117,-4689.778467846706,-5409.319810402674,1748.5737901075906,997.3412797138706,-1954.8377081516446,7001.281817196962,885.0315055142165,-2488.0337469358255,-1277.2909462591638,1739.0242075719989,6657.56838287758,1470.9191356986305
-67061.2069656027,89493.3736054073,11133.090014791047,162.31963863970856,-2858.2024216110062,9166.975027550738,9267.099095117837,6813.498620098002,35.664182385949026,6220.855801971091,2668.240061264255,2946.2604181291736,4045.0492364623788,-4328.39797738192,-2828.344010279845,2890.294022297718,-4779.564288169247,-2157.8932950764897,7357.774752511968,-976.623700926754,-2947.071689187318,-3743.063190381641,3935.7264583349333,4598.37850747818,2118.588436919272
