KOI Name,NExScI Disposition,Kepler Name,Period,Transit Depth,Teq,KOI count,Planet Radius,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass
K04359.01,CANDIDATE,,0.629001455,14.7,3375.0,1,0.81,6739.0,3.948,-0.24,2.059,1.375
K03145.01,CANDIDATE,,4.53702121,504.4,798.0,2,1.66,4805.0,4.633,-0.06,0.688,0.769
K03145.02,CANDIDATE,,0.9773114890000001,250.7,1331.0,2,1.06,4805.0,4.633,-0.06,0.688,0.769
K00993.01,CONFIRMED,Kepler-262 c,21.85362905,355.6,618.0,3,1.75,5830.0,4.54,-0.14,0.8759999999999999,0.97
K00993.02,CONFIRMED,Kepler-262 b,13.0607936,236.6,734.0,3,1.45,5830.0,4.54,-0.14,0.8759999999999999,0.97
K00993.03,FALSE POSITIVE,,86.723653,241.0,391.0,3,1.43,5830.0,4.54,-0.14,0.8759999999999999,0.97
K04053.01,CANDIDATE,,1.41975831,60.9,1700.0,1,0.85,5925.0,4.394,-0.14,1.035,0.968
K04644.01,CANDIDATE,,3.44928111,237.0,966.0,1,1.23,5119.0,4.591,0.14,0.7809999999999999,0.879
K01008.01,FALSE POSITIVE,,569.934135,18904.0,296.0,1,38.98,5367.0,3.783,-0.46,2.057,0.935
K07624.01,CANDIDATE,,330.02500200000003,259.2,478.0,1,5.92,6126.0,3.5780000000000003,0.06,3.466,1.6580000000000001
K04224.01,FALSE POSITIVE,,1.975208831,76.3,2064.0,1,1.59,6401.0,4.029,-0.2,1.744,1.185
K04212.01,CONFIRMED,Kepler-1569 b,5.79179934,118.5,1222.0,2,1.69,6174.0,4.244,0.02,1.318,1.109
K04212.02,CANDIDATE,,10.0989634,57.0,1016.0,2,1.03,6174.0,4.244,0.02,1.318,1.109
K01007.01,CONFIRMED,Kepler-748 b,7.40742502,442.0,938.0,1,2.01,5922.0,4.474,-0.08,0.961,1.002
K04925.01,FALSE POSITIVE,,2.96384168,35652.8,1406.0,1,43.7,6095.0,4.371,0.14,1.158,1.1540000000000001
K02538.01,CANDIDATE,,39.831253600000004,388.8,420.0,1,1.46,5026.0,4.58,0.0,0.759,0.8
K01002.01,CONFIRMED,Kepler-746 b,3.4815917,135.2,1156.0,1,1.17,5405.0,4.374,0.21,1.022,0.902
K04926.01,CANDIDATE,,69.089357,475.1,332.0,1,1.47,4848.0,4.581,-0.28,0.698,0.679
K07625.01,FALSE POSITIVE,,6.12601169,40.2,1141.0,1,0.83,5679.0,4.146,-0.3,1.286,0.8440000000000001
K04927.01,FALSE POSITIVE,,43.142257,283.2,706.0,1,37.88,6198.0,4.069,0.14,1.7690000000000001,1.338
K01001.01,CONFIRMED,Kepler-264 b,40.8065333,313.9,772.0,2,3.71,6207.0,3.963,0.24,2.097,1.472
K01001.02,CONFIRMED,Kepler-264 c,140.10765,266.8,511.0,2,3.42,6207.0,3.963,0.24,2.097,1.472
K02351.01,CANDIDATE,,10.27380957,352.8,799.0,1,1.68,5806.0,4.5280000000000005,-0.04,0.899,0.996
K04928.01,CONFIRMED,Kepler-1624 b,3.290304098,13552.6,540.0,1,4.91,3386.0,4.81,0.48,0.42700000000000005,0.43
K02634.01,CONFIRMED,Kepler-1299 b,19.940121100000002,758.9,588.0,1,2.42,5623.0,4.596,-0.4,0.763,0.853
K07626.01,FALSE POSITIVE,,462.12069,633.7,249.0,1,2.46,6079.0,4.4110000000000005,-0.5,0.9740000000000001,0.892
K03351.01,FALSE POSITIVE,,77.36241475999998,96585.8,362.0,1,41.66,5359.0,4.57,-0.12,0.79,0.848
K02534.01,CONFIRMED,Kepler-1271 b,3.02558494,128.3,1484.0,2,1.62,6123.0,4.263,-0.06,1.263,1.0659999999999998
K02534.02,CANDIDATE,,5.42204257,79.1,1222.0,2,1.39,6123.0,4.263,-0.06,1.263,1.0659999999999998
K00147.01,FALSE POSITIVE,,145.56249259999998,2931.6,387.0,1,40.15,6148.0,4.346,-0.3,1.095,0.9690000000000001
K08084.01,FALSE POSITIVE,,317.74527,206.6,336.0,1,2.1,6050.0,4.08,-0.94,1.3330000000000002,0.779
K03999.01,FALSE POSITIVE,,3.43525124,152.2,1579.0,1,25.43,5854.0,4.013999999999999,0.12,1.742,1.143
K04929.01,FALSE POSITIVE,,18.622214000000003,5832.0,1101.0,1,20.83,6235.0,3.801,0.02,2.471,1.4069999999999998
K06257.01,FALSE POSITIVE,,2.32539968,288.1,2501.0,1,9.76,7046.0,3.8310000000000004,0.1,2.7239999999999998,1.834
K06258.01,FALSE POSITIVE,,0.7645977559999999,16.6,2708.0,1,0.72,6218.0,4.066,0.1,1.726,1.263
K02178.01,FALSE POSITIVE,,6.49676881,135.0,1761.0,1,3.74,6418.0,3.658,-0.14,3.049,1.541
K03585.01,FALSE POSITIVE,,3.564614021,94342.0,1187.0,1,46.0,5891.0,4.45,-0.56,0.892,0.818
K06093.01,FALSE POSITIVE,,20.5736113,76.0,1197.0,2,3.86,5440.0,3.404,0.3,4.524,1.8940000000000001
K06093.02,CANDIDATE,,27.249752100000002,102.0,1090.0,2,4.49,5440.0,3.404,0.3,4.524,1.8940000000000001
K01987.01,FALSE POSITIVE,,7.81153999,912.8,718.0,1,23.56,5150.0,4.628,-0.28,0.71,0.792
K07627.01,FALSE POSITIVE,,0.967427812,9127.8,1419.0,1,29.01,5066.0,4.625,-0.24,0.7090000000000001,0.784
K02201.01,FALSE POSITIVE,,116.52143170000001,771.5,457.0,1,44.41,6056.0,4.178999999999999,0.0,1.411,1.0959999999999999
K02403.01,CONFIRMED,Kepler-1224 b,13.32354078,116.6,872.0,1,1.32,6113.0,4.341,0.22,1.218,1.194
K02130.01,CANDIDATE,,16.85592593,871.5,408.0,1,1.7,3967.0,4.6739999999999995,0.06,0.5870000000000001,0.593
K06094.01,FALSE POSITIVE,,2.283466438,864260.0,2014.0,1,218.79,6723.0,4.0889999999999995,-0.24,1.719,1.327
K06259.01,CANDIDATE,,4.78113942,105.8,1130.0,2,1.14,5683.0,4.3260000000000005,0.08,1.115,0.9590000000000001
K06259.02,CANDIDATE,,7.18864064,133.5,987.0,2,1.3,5683.0,4.3260000000000005,0.08,1.115,0.9590000000000001
K06260.01,FALSE POSITIVE,,4.101595158,366585.0,1028.0,1,51.08,5610.0,4.533,-0.38,0.8079999999999999,0.813
K01029.01,CANDIDATE,,32.312286699999994,677.8,699.0,1,4.84,5821.0,4.1080000000000005,0.04,1.494,1.043
K00999.01,CONFIRMED,Kepler-263 b,16.56806842,1331.4,548.0,2,2.54,4987.0,4.602,-0.18,0.716,0.7490000000000001
K00999.02,CONFIRMED,Kepler-263 c,47.3329299,931.5,386.0,2,2.18,4987.0,4.602,-0.18,0.716,0.7490000000000001
K04934.01,FALSE POSITIVE,,0.7906069,689.2,1503.0,1,17.97,4994.0,4.62,-0.1,0.72,0.8029999999999999
K03735.01,FALSE POSITIVE,,8.096939227,142891.0,1194.0,1,68.48,6572.0,4.208,-0.28,1.4180000000000001,1.19
K01028.01,FALSE POSITIVE,,8.09695764,283.5,1197.0,1,34.0,5949.0,4.024,0.02,1.7069999999999999,1.122
K06261.01,FALSE POSITIVE,,2.43574046,6223.0,2102.0,1,24.62,7239.0,4.129,0.02,1.781,1.558
K03670.01,FALSE POSITIVE,,2.64830047,12668.0,3042.0,1,126.54,4839.0,2.761,-0.04,9.277999999999999,1.808
K08085.01,CANDIDATE,,419.2615,287.8,256.0,1,1.7,5979.0,4.379,-0.58,0.975,0.83
K07628.01,CANDIDATE,,1.8134378,97.4,1158.0,1,0.69,5094.0,4.618,-0.32,0.7,0.743
K06263.01,CANDIDATE,,8.60965352,63.2,1550.0,1,3.33,5418.0,3.447,0.06,4.2330000000000005,1.83
K00988.01,CONFIRMED,Kepler-261 b,10.38122447,801.5,672.0,2,2.18,5095.0,4.566,0.02,0.78,0.816
K00988.02,CONFIRMED,Kepler-261 c,24.5709023,764.2,505.0,2,2.82,5095.0,4.566,0.02,0.78,0.816
K07629.01,FALSE POSITIVE,,0.5421226170000001,88.3,2238.0,1,0.94,5875.0,4.476,0.18,0.998,1.088
K07630.01,CANDIDATE,,16.2982201,199.0,388.0,1,0.78,3905.0,4.736000000000001,-0.2,0.521,0.5379999999999999
K04709.01,CANDIDATE,,3.70858595,305.4,995.0,1,1.33,5420.0,4.596,-0.2,0.7709999999999999,0.8640000000000001
K02033.01,CONFIRMED,Kepler-1064 b,16.54081386,370.0,570.0,1,1.57,5064.0,4.572,0.0,0.769,0.8059999999999999
K04935.01,FALSE POSITIVE,,24.5714867,506.4,637.0,1,3.04,5977.0,4.462,-0.22,0.956,0.9670000000000001
K06264.01,FALSE POSITIVE,,1.40469182,702439.0,2263.0,1,217.25,6230.0,4.043,0.22,1.8630000000000002,1.396
K04936.01,FALSE POSITIVE,,0.6811377959999999,105189.0,2025.0,1,45.75,5872.0,4.474,-0.58,0.8640000000000001,0.8109999999999999
K02610.01,CANDIDATE,,24.1073172,104.2,1065.0,2,2.74,6585.0,3.813,-0.08,2.517,1.5019999999999998
K02610.02,CANDIDATE,,115.230655,164.4,632.0,2,4.02,6585.0,3.813,-0.08,2.517,1.5019999999999998
K06265.01,FALSE POSITIVE,,10.306982793,341790.0,960.0,1,81.21,5912.0,4.225,-0.3,1.217,0.907
K00151.01,CANDIDATE,,13.4471791,1428.2,848.0,1,5.24,6276.0,4.405,-0.32,1.041,1.001
K03549.01,FALSE POSITIVE,,204.0329342,411374.0,272.0,1,57.35,5553.0,4.577,-0.16,0.8059999999999999,0.903
K02053.01,CONFIRMED,Kepler-356 c,13.12162167,196.9,913.0,2,1.99,6140.0,4.265,0.0,1.2770000000000001,1.094
K02053.02,CONFIRMED,Kepler-356 b,4.6126736,133.2,1294.0,2,1.6,6140.0,4.265,0.0,1.2770000000000001,1.094
K07631.01,FALSE POSITIVE,,0.9833045109999999,79.9,2121.0,1,1.1,6363.0,4.386,0.21,1.198,1.273
K06266.01,FALSE POSITIVE,,1.109841858,300713.0,2944.0,1,177.78,5788.0,3.6069999999999998,-0.04,3.2110000000000003,1.52
K01004.01,FALSE POSITIVE,,1.8385149680000001,2721.7,1426.0,1,4.86,5751.0,4.508,0.14,0.94,1.038
K05982.01,FALSE POSITIVE,,1.838514245,118965.0,1572.0,1,57.6,5799.0,4.3260000000000005,-0.3,1.055,0.861
K01020.01,FALSE POSITIVE,,54.35635067,10510.4,566.0,1,38.81,6161.0,4.281000000000001,0.0,1.255,1.095
K04937.01,FALSE POSITIVE,,1.8437362000000002,341.1,1628.0,1,25.26,6032.0,4.3580000000000005,-0.04,1.114,1.033
K04938.01,CANDIDATE,,55.180772,474.6,531.0,1,2.37,6306.0,4.426,-0.1,1.0759999999999998,1.126
K06267.01,CANDIDATE,,13.8911152,204.9,674.0,1,1.12,5472.0,4.499,-0.54,0.79,0.718
K02682.01,FALSE POSITIVE,,8.53161917,65744.0,891.0,1,54.6,5780.0,4.438,0.0,1.0,1.0
K03712.01,FALSE POSITIVE,,3.1870872410000004,129093.0,4037.0,1,928.96,4599.0,2.137,0.07,23.673000000000002,2.799
K03461.01,FALSE POSITIVE,,18.79852,487.4,509.0,2,2.04,4808.0,4.5889999999999995,-0.1,0.715,0.723
K03461.02,FALSE POSITIVE,,3.18740907,137.5,919.0,2,0.81,4808.0,4.5889999999999995,-0.1,0.715,0.723
K03598.01,FALSE POSITIVE,,18.79862195,380204.0,575.0,1,55.07,5334.0,4.585,-0.02,0.7959999999999999,0.893
K04939.01,FALSE POSITIVE,,281.36926,12435.0,507.0,1,56.94,4818.0,3.125,0.1,5.303,1.3659999999999999
K06268.01,FALSE POSITIVE,,7.234965722,164848.0,843.0,1,34.03,5653.0,4.573,-0.3,0.7979999999999999,0.868
K03920.01,FALSE POSITIVE,,14.46993942,1235.3,1713.0,1,85.84,4735.0,2.715,0.0,9.043,1.5490000000000002
K02671.01,FALSE POSITIVE,,21.47642727,348130.0,655.0,2,59.5,5780.0,4.438,0.0,1.0,1.0
K03745.01,FALSE POSITIVE,,7.45306683,46552.0,932.0,1,1044.28,5780.0,4.438,0.0,1.0,1.0
K06269.01,FALSE POSITIVE,,7.45301717,551.5,2595.0,1,37.37,4475.0,2.329,0.38,16.755,2.185
K04909.01,FALSE POSITIVE,,1.65320144,132.1,1059.0,1,0.74,4544.0,4.609,-0.22,0.6609999999999999,0.647
K06270.01,FALSE POSITIVE,,2.442941283,37338.0,1352.0,1,48.18,5780.0,4.438,0.0,1.0,1.0
K06271.01,FALSE POSITIVE,,2.44295727,15298.0,1352.0,1,44.35,5780.0,4.438,0.0,1.0,1.0
K00363.01,FALSE POSITIVE,,2.442945167,677.9,1587.0,1,38.29,5657.0,4.121,0.06,1.4280000000000002,0.983
K00440.01,CONFIRMED,Kepler-156 c,15.90688891,924.7,588.0,2,2.35,5097.0,4.553999999999999,0.08,0.797,0.8290000000000001
K00440.02,CONFIRMED,Kepler-156 b,4.973455252,741.6,867.0,2,2.46,5097.0,4.553999999999999,0.08,0.797,0.8290000000000001
K04941.01,FALSE POSITIVE,,262.71162000000004,1449.0,272.0,1,3.69,5398.0,4.375,0.04,0.99,0.847
K03699.01,FALSE POSITIVE,,3.31577795,94567.0,1104.0,1,27.77,5528.0,4.516,-0.14,0.8490000000000001,0.8640000000000001
K01003.01,FALSE POSITIVE,,8.360616221,28066.3,1263.0,1,40.35,5463.0,3.79,0.34,2.445,1.3430000000000002
K01944.01,CANDIDATE,,12.18420006,499.3,819.0,2,2.59,5771.0,4.374,0.06,1.068,0.9840000000000001
K01944.02,FALSE POSITIVE,,8.3606759,194.8,929.0,2,1.49,5771.0,4.374,0.06,1.068,0.9840000000000001
K06272.01,FALSE POSITIVE,,3.31587688,185.6,1097.0,1,1.27,5385.0,4.476,-0.06,0.875,0.835
K02280.01,CONFIRMED,Kepler-1172 b,26.0203329,1164.4,675.0,1,4.53,5624.0,4.218,0.04,1.244,0.9309999999999999
K00792.01,FALSE POSITIVE,,1.433769925,1976.3,1920.0,1,46.58,6017.0,4.22,0.02,1.339,1.083
K00603.01,FALSE POSITIVE,,2.192009479,1475.6,1446.0,1,35.9,5499.0,4.28,0.04,1.125,0.878
K03642.01,FALSE POSITIVE,,2.192004364,99583.0,1118.0,1,37.56,5306.0,4.6419999999999995,-0.48,0.687,0.765
K00166.01,CONFIRMED,Kepler-479 b,12.49340725,715.7,649.0,1,2.2,5207.0,4.561,0.0,0.795,0.84
K01000.01,FALSE POSITIVE,,0.8568953490000001,82.2,1881.0,1,0.82,6021.0,4.537,-0.34,0.873,0.958
K06273.01,FALSE POSITIVE,,49.788613011,219219.0,271.0,1,32.57,3892.0,4.708,-0.1,0.542,0.546
K03997.01,FALSE POSITIVE,,0.552834211,145.7,3107.0,1,18.09,5132.0,3.675,-0.08,2.648,1.2109999999999999
K02812.01,CONFIRMED,Kepler-1354 b,76.6139446,498.7,466.0,1,2.61,6173.0,4.408,-0.28,1.03,0.988
K02603.01,CANDIDATE,,73.711039,136.7,563.0,1,1.77,6374.0,4.1930000000000005,0.1,1.5019999999999998,1.284
K00103.01,CANDIDATE,,14.91095177,864.5,694.0,1,2.62,5650.0,4.5,-0.04,0.899,0.932
K00793.01,FALSE POSITIVE,,10.31872301,871.7,876.0,1,28.59,5927.0,4.409,0.07,1.06,1.05
K05983.01,FALSE POSITIVE,,8.412008943,136113.0,1100.0,1,50.83,6247.0,4.225,-0.2,1.314,1.057
K01023.01,FALSE POSITIVE,,8.4120069,819.6,590.0,1,1.71,4502.0,4.668,-0.26,0.621,0.662
K00053.01,FALSE POSITIVE,,3.388887193,11267.8,1212.0,1,10.72,5780.0,4.438,0.0,1.0,1.0
K00379.01,FALSE POSITIVE,,6.71725648,272.7,1264.0,2,2.78,6078.0,4.093999999999999,0.14,1.683,1.285
K00379.02,CANDIDATE,,23.1375919,114.0,837.0,2,1.83,6078.0,4.093999999999999,0.14,1.683,1.285
K07632.01,FALSE POSITIVE,,39.1307086,201.0,600.0,1,1.54,6295.0,4.401,-0.16,1.08,1.065
K03674.01,FALSE POSITIVE,,175.06586091,45134.0,312.0,1,40.63,6021.0,4.57,-0.5,0.8190000000000001,0.922
K07633.01,FALSE POSITIVE,,0.73975345,481.8,1818.0,1,2.09,5271.0,4.436,0.21,0.935,0.8690000000000001
K00378.01,FALSE POSITIVE,,4.94402197,363.3,1419.0,1,32.92,6013.0,4.035,0.02,1.7,1.141
K03702.01,FALSE POSITIVE,,4.944046127,112503.0,1069.0,1,54.29,5780.0,4.438,0.0,1.0,1.0
K06274.01,CANDIDATE,,18.1772927,213.1,737.0,1,1.5,6158.0,4.455,-0.06,1.026,1.092
K02009.01,CANDIDATE,,86.74908069999998,547.1,398.0,1,2.23,5579.0,4.419,0.0,0.97,0.9009999999999999
K03687.01,FALSE POSITIVE,,8.097050622,65620.0,891.0,1,24.01,5753.0,4.423,-0.56,0.894,0.7709999999999999
K00380.01,FALSE POSITIVE,,8.0970583,680.7,1203.0,1,4.83,6573.0,4.2,-0.2,1.455,1.23
K02156.01,CONFIRMED,Kepler-1124 b,2.852348262,1402.9,621.0,1,1.66,3731.0,4.83,-0.28,0.433,0.46299999999999997
K06276.01,CANDIDATE,,3.09872834,248.0,579.0,1,0.64,3628.0,4.842,-0.2,0.41,0.42700000000000005
K06277.01,FALSE POSITIVE,,0.648868342,34769.5,2882.0,1,72.32,6531.0,4.12,-0.34,1.524,1.117
K00488.01,CONFIRMED,Kepler-575 b,9.3789167,563.5,803.0,1,2.03,5684.0,4.493,-0.66,0.8079999999999999,0.741
K04655.01,CANDIDATE,,17.543847,196.3,658.0,1,1.15,5957.0,4.579,-0.6,0.7909999999999999,0.865
K01021.01,FALSE POSITIVE,,0.54624855,639.7,1837.0,1,18.93,5414.0,4.625,-0.44,0.7140000000000001,0.792
K03855.01,FALSE POSITIVE,,0.546248198,114528.0,2227.0,1,54.23,5780.0,4.438,0.0,1.0,1.0
K06278.01,FALSE POSITIVE,,5.088582739,448.9,1786.0,1,46.02,7514.0,4.052,-0.2,1.955,1.571
K04944.01,FALSE POSITIVE,,1.52327807,924.2,3461.0,1,22.88,4477.0,2.633,0.22,7.912000000000001,0.981
K03704.01,FALSE POSITIVE,,1.523298835,195071.0,1404.0,1,38.95,5311.0,4.468999999999999,-0.08,0.866,0.804
K04945.01,FALSE POSITIVE,,45.5827119,76.5,957.0,1,2.42,7266.0,3.8280000000000003,-0.08,2.715,1.807
K07634.01,FALSE POSITIVE,,80.84069000000001,9326.0,500.0,1,15.11,5511.0,4.069,0.46,1.597,1.089
K04946.01,FALSE POSITIVE,,1.89140138,557.6,1377.0,1,25.67,5504.0,4.466,0.24,0.9520000000000001,0.968
K06279.01,FALSE POSITIVE,,1.89129338,33.8,1152.0,1,0.42,4986.0,4.558,-0.24,0.733,0.7090000000000001
K06280.01,FALSE POSITIVE,,1.89124453,31.0,2200.0,1,1.19,5850.0,3.72,-1.92,1.9769999999999999,0.7490000000000001
K04376.01,FALSE POSITIVE,,1.8912851000000002,1223.4,1061.0,1,19.96,4700.0,4.605,0.0,0.7070000000000001,0.7340000000000001
K00084.01,CONFIRMED,Kepler-19 b,9.286964466,691.7,762.0,1,2.1,5546.0,4.575,-0.14,0.81,0.907
K04581.01,CANDIDATE,,6.0059966,39.2,1130.0,1,0.73,6103.0,4.331,-0.04,1.16,1.05
K02648.01,FALSE POSITIVE,,0.631795416,145.2,2797.0,1,1.88,6414.0,4.173,-0.04,1.5190000000000001,1.256
K03217.01,FALSE POSITIVE,,5.09506,23.6,2247.0,1,2.14,6700.0,3.48,-0.1,4.146,1.893
K01025.01,FALSE POSITIVE,,37.478349200000004,1467.9,262.0,1,10.05,3687.0,4.813,-0.2,0.44,0.45899999999999996
K01030.01,CANDIDATE,,9.22961384,492.1,1021.0,1,2.79,6320.0,4.3469999999999995,0.24,1.252,1.273
K04947.01,FALSE POSITIVE,,6.70258007,859.0,2635.0,1,403.01,4799.0,2.475,-0.18,13.652000000000001,2.031
K03709.01,FALSE POSITIVE,,205.58333090000002,24872.0,323.0,1,42.69,6328.0,4.516,-0.5,0.915,1.0
K00489.01,FALSE POSITIVE,,2.217038096,543.7,1697.0,2,3.23,6521.0,4.352,0.21,1.276,1.334
K06282.01,FALSE POSITIVE,,87.87826191000002,339056.0,530.0,1,110.85,5784.0,3.985,-0.32,1.642,0.951
K07635.01,CANDIDATE,,60.458443,175.2,511.0,1,1.59,5865.0,4.297,0.02,1.181,1.008
K04629.01,FALSE POSITIVE,,0.592562969,1546.4,1967.0,1,25.97,5728.0,4.575,-0.32,0.804,0.8959999999999999
K04948.01,FALSE POSITIVE,,6.2095391,47.9,4585.0,1,30.47,3861.0,1.06,-0.22,46.169,0.893
K02064.01,CANDIDATE,,6.31219171,403.7,1096.0,1,2.17,6322.0,4.426,-0.12,1.075,1.124
K06283.01,FALSE POSITIVE,,15.926632768,271858.0,670.0,1,57.95,5496.0,4.471,0.06,0.917,0.907
K02203.01,FALSE POSITIVE,,1.99042642,133.8,1539.0,2,1.17,6198.0,4.4639999999999995,-0.16,1.005,1.072
K03681.01,CONFIRMED,Kepler-1514 b,217.83184293,9148.7,343.0,2,11.17,6259.0,4.385,0.14,1.167,1.21
K03681.02,CANDIDATE,,10.51421162,85.4,943.0,2,1.25,6259.0,4.385,0.14,1.167,1.21
K03835.01,CONFIRMED,Kepler-1521 b,47.1484324,1113.8,391.0,1,2.58,4975.0,4.579,-0.14,0.7340000000000001,0.746
K06284.01,FALSE POSITIVE,,0.958116585,2374.1,2271.0,1,49.16,6032.0,4.147,-0.32,1.365,0.9540000000000001
K01031.01,CONFIRMED,Kepler-754 b,14.559855599999999,290.6,758.0,1,1.64,5959.0,4.46,-0.16,0.966,0.983
K00299.01,CONFIRMED,Kepler-98 b,1.5416765469999998,296.5,1592.0,1,1.88,5533.0,4.337,0.18,1.089,0.94
K06285.01,FALSE POSITIVE,,39.841522897,143685.0,765.0,1,116.52,6078.0,3.946,0.1,2.07,1.38
K01976.01,CONFIRMED,Kepler-1034 b,12.12401737,788.4,675.0,1,2.37,5094.0,4.468999999999999,0.16,0.87,0.813
K04600.01,FALSE POSITIVE,,0.92225589,33.0,2206.0,1,1.29,5631.0,4.114,0.24,1.485,1.046
K00400.01,FALSE POSITIVE,,44.18938922,4293.5,537.0,1,14.0,6061.0,4.438,-0.36,0.968,0.9390000000000001
K07636.01,CANDIDATE,,0.702739679,65.1,1765.0,1,0.73,5269.0,4.508,-0.04,0.836,0.8190000000000001
K03161.01,FALSE POSITIVE,,6.09406648,3027.0,1417.0,1,54.54,6785.0,4.162,0.18,1.666,1.47
K03853.01,FALSE POSITIVE,,21.5135234,1583.8,1006.0,1,534.47,5088.0,3.508,-0.14,3.318,1.294
K06095.01,FALSE POSITIVE,,0.692807507,25338.3,2057.0,1,46.44,5780.0,4.438,0.0,1.0,1.0
K04950.01,FALSE POSITIVE,,1.89124738,410.0,989.0,1,1.2,4615.0,4.66,-0.7,0.589,0.579
K03253.01,FALSE POSITIVE,,1.89127438,32.3,3342.0,1,2.03,7919.0,3.6630000000000003,-0.2,3.46,2.01
K06286.01,FALSE POSITIVE,,1.891268461,641910.0,5047.0,1,399.93,11287.0,3.642,0.07,4.662,3.471
K06287.01,FALSE POSITIVE,,1.89114441,49.9,932.0,1,6.57,4267.0,4.637,-0.14,0.627,0.622
K04045.01,FALSE POSITIVE,,1.89125855,67.9,1671.0,1,0.81,6569.0,4.41,-1.52,0.927,0.805
K04352.01,FALSE POSITIVE,,1.8912501,731.0,1159.0,1,23.5,4883.0,4.523,0.12,0.794,0.767
K04951.01,FALSE POSITIVE,,1.89125883,274.5,4480.0,1,23.6,4449.0,2.031,-0.34,14.894,0.87
K04102.01,FALSE POSITIVE,,1.89124187,105.8,1312.0,1,0.93,5285.0,4.474,0.4,0.927,0.9329999999999999
K04071.01,FALSE POSITIVE,,1.89131005,155.6,1590.0,1,6.4,5706.0,4.255,-0.32,1.12,0.8240000000000001
K04111.01,FALSE POSITIVE,,1.8913182000000002,202.3,983.0,1,0.9,4476.0,4.627,-0.32,0.633,0.618
K04003.01,FALSE POSITIVE,,1.89129881,82.0,1414.0,1,0.86,5806.0,4.507,-0.18,0.893,0.935
K06288.01,FALSE POSITIVE,,1.89117723,176.2,3536.0,1,164.49,5086.0,2.66,-1.14,6.86,0.784
K06289.01,FALSE POSITIVE,,52.884577,11969.0,555.0,1,48.13,6483.0,4.42,-0.28,1.078,1.114
K02907.01,FALSE POSITIVE,,1.1469346440000001,256.2,1554.0,1,1.39,5423.0,4.502,-0.04,0.862,0.862
K04532.01,FALSE POSITIVE,,1.02087831,33.4,1903.0,1,0.64,5750.0,4.337,0.04,1.1059999999999999,0.968
K06290.01,FALSE POSITIVE,,1.429439352,3367.1,2079.0,1,54.36,6491.0,4.223,-0.28,1.371,1.147
K04953.01,FALSE POSITIVE,,2.858879267,644.5,3638.0,1,515.07,4893.0,2.501,0.07,16.274,3.063
K07637.01,FALSE POSITIVE,,2.85889907,55.7,989.0,1,0.73,4973.0,4.603,0.14,0.754,0.848
K04746.01,FALSE POSITIVE,,0.98041685,105.7,1388.0,1,0.75,4861.0,4.572,-0.16,0.722,0.71
K08086.01,FALSE POSITIVE,,18.384953,92.9,872.0,1,1.36,6335.0,4.2139999999999995,-0.1,1.401,1.172
