Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25
-35812.06303876315,-27449.65908936439,4943.004221989695,22056.453578536366,4935.2526624649,-27493.404729679743,12771.90757542063,90.44718766756063,-21741.73502853192,21554.78548327694,-10965.531520803794,-316.6380013198575,11551.064017738734,9952.367985266092,-15764.71049273975,90.70242760217039,4738.657661922446,-4685.1939050961,9142.982043914431,10699.229482863268,-5169.610040110352,-7550.194818973971,-5213.1690053262855,12528.115553405045,-2757.025347260446
-63441.5117329791,-83836.83238445522,10690.878354678449,645.5253868638488,-1802.7945755431217,8462.58988710894,8489.315886738446,6404.3057517690995,-17.952215203496436,5738.210862250895,2617.969731014886,2720.1284855281638,3957.707972754409,-3748.9316589696164,-2692.9049935689895,2458.4950362411714,-4263.373324598297,-2014.8510876532303,6835.403748796847,-812.4045161153732,-2540.4919398869442,-3552.990877153874,-3857.992353068071,4630.841431091187,1995.9217544165806
-63735.71211146934,-84236.05595233905,10912.635118261884,701.1903971366102,-2253.519633451391,8129.121203547129,8406.568748024094,6444.458907874152,32.22942071596741,5760.405885156978,2562.448899814549,2757.5237541634615,3905.225795869537,-3682.805623091283,-2674.8183951946507,2363.5851542439646,-4321.179864165277,-1718.6542339241,6941.598644570632,-754.8814631263698,-2805.4741449444514,-3414.993189530961,-3822.6093247268814,4623.033998505004,2232.5089497188783
-64113.63279203998,-84842.56720598252,10875.78009397431,590.1096805898518,-2310.1160595726014,8246.416933165008,8531.467943177775,6454.815610425644,-69.43572482530047,5987.946055341253,2672.6044144397006,2795.9216012232805,3989.3757694926862,-3880.1991042299587,-2699.511176578414,2360.8805169742777,-4283.357630271393,-2119.1478978630275,7010.196621051834,-772.1298338327093,-2733.58444277589,-3473.7619181960704,-3939.7790458500426,4633.14096160733,1968.5552729013828
-46037.41155540796,-57263.09082739971,5943.943803911929,-596.9702219613916,-2085.809938917877,5405.688566590286,5632.219980855221,4330.14401539861,292.66268546135547,3559.8190925226795,2008.5292114793651,1263.3651021432313,2237.430856583218,-2715.9382126471123,-1738.6847055513626,2272.851860105383,-3546.521590149658,-1841.7640527259314,3594.358385471953,-1026.8808176841014,-1783.68286806719,-2209.44067540269,-2007.523842667425,2177.899315476362,1565.493110906268
-64278.80588289163,-85100.5871790281,11324.768154348842,938.3886067546924,-2101.060311275764,8119.818592346354,8394.506524405939,6428.949314348998,-53.07584027962624,5875.239646447033,2516.828866599905,2926.726453532302,4143.037944503579,-3765.5917606228404,-2809.798289671304,2372.787752553537,-4080.6866110835836,-2043.3827132224344,7071.261767833183,-619.0608481059292,-2820.6421001457306,-3549.993746867445,-3726.5003441842005,4850.106605051653,2082.761126476255
-64253.82672840863,-84920.9302551699,11052.541615122846,865.935123725703,-2198.6685213170817,8167.15185095352,8448.531942003192,6369.165220657891,-3.6402370186333357,5827.6043347031155,2644.2636301046487,2825.543868732701,4121.5384362184395,-3819.8835903921467,-2740.6684717177527,2541.6973634922156,-4177.194160825391,-2084.8601534749714,7028.320470420035,-686.8042362066699,-2792.6213536520895,-3448.5615884773933,-3732.110313767722,4789.39841923467,1947.760895366042
-63550.22308090767,-84204.82411722427,10884.342577725618,550.5323120342423,-2285.172274665778,8179.54058006718,8375.345371120888,6491.887546718597,41.66086030813663,5781.728399211397,2537.723870212215,2728.8006319494025,3855.0542440329627,-3780.9659018631655,-2657.093994516305,2346.986740689502,-4218.177977216016,-1948.087720659901,6926.67980492041,-777.5432670451092,-2824.229544096189,-3368.7344004057786,-3844.9381509125083,4469.770646541112,2069.5583285822336
132634.63771584973,27186.106059520658,19417.282225685904,5399.833676894531,4873.10551454613,-14883.675250424098,-3938.915519323336,-444.0035107515836,10885.477081581861,457.0245608659408,1419.6334794518987,-12073.590088896073,-3083.327251162086,1624.0018073376577,5277.304126943618,920.3283664379906,-735.929770956525,1044.222194695236,-15035.741672412341,-2972.984380978386,2780.804899673122,9793.921785699547,8675.224379373996,-5010.430582287503,-946.453446218398
-64527.92759894999,-85325.24575363667,11197.01850036962,1001.3017780759834,-2140.077434027707,8186.654736279717,8386.628487267468,6452.135212049191,-40.04859681546611,5882.5614235602225,2558.0127238969153,2927.8383615598113,4126.000564508645,-3806.221866717007,-2795.8592527290093,2423.9640488590094,-4150.359821604359,-2055.9093089027415,7109.902480969864,-666.8751186338893,-2820.696182627611,-3530.521403068009,-3783.2773470574484,4834.921881645736,2065.127268435023
