Component 1,Component 2,Component 3,Component 4,Component 5
284651.386625784,-306908.2670507657,-147626.75162664065,-19487.477668770352,-67648.73073783836
-82909.70265901739,65100.80655929522,1245.6233977252868,1532.480973832563,2750.155937246402
117943.80047448349,-161191.58978454053,-130324.20579545734,-44344.03767981591,-64560.79805208872
-103694.63183384133,85408.4683899971,4821.29574775175,5500.6122197621235,2427.0223897035735
-104757.64724522407,87445.10415786813,5920.251965743032,5662.627595551559,3728.936345523381
-56729.05940364644,35084.72907073952,12984.806396713346,-2885.0659245944007,11295.719247041407
-100945.27420307661,82995.37027772542,4347.326292876393,5369.295009939291,2126.3866415197917
-101446.34413174342,83553.42116764307,4638.759126095405,5371.557261619097,2235.8630000764074
101638.51902813866,-95202.92445990916,110097.84238157494,-15481.326634911491,23007.7284689477
-100024.464873159,81937.30787878703,5300.629607534199,5073.733706350977,2168.692520301221
-97346.38325177199,86349.32166856121,8833.331882951017,6269.957834531423,7634.96853076965
-101222.65970106554,84044.94327771374,5963.569392098584,5391.348815412219,3194.2690533048526
-101356.54429238407,83509.28573298118,4357.598673286327,5299.447504573065,1997.517598606598
-78582.69952335813,60267.5561494908,3517.1986112356453,1360.5865589066334,9083.495655020188
-99901.93514660273,82585.24592200859,3855.2410663983164,5553.491059453329,1877.3262785449683
-99059.89320869726,81070.90704564699,3762.9033302807316,4995.816991564396,1568.738417335126
-102752.8857108382,85103.66810145874,5318.582649527412,5311.155097466668,2558.8406223526695
-108367.89001783192,90785.85752270637,5729.342916136363,6006.079153891439,4053.3061448873927
-97598.0047882774,79452.91598039173,3522.353001290731,6030.183663321595,2026.364239100691
-14923.05539579292,-6047.6082996268515,-25004.76315516465,6148.927226135973,-378.84881477579745
-99367.00127042377,81932.13013170098,4005.8785353780927,5148.742701874567,1666.9498216982063
297279.4990602183,-259585.66859590966,116037.21231482926,-30639.037374203806,26486.95981693821
-99199.53297612217,81411.23753474953,3631.483207034789,5216.526520414151,1101.9137115070296
-100257.89643884356,82671.819890842,5185.675738775932,5582.987276869026,2011.806240839891
-100480.40784250881,82726.77334849718,4335.805890288514,5213.971514774943,1972.8020664595342
-130543.88500150357,114706.46853226665,11061.54544693687,8417.508687529065,10344.378096306302
-101028.92019137893,83761.91169812622,4431.163552773942,5214.341949219007,2152.955992945008
-65233.064356720824,50942.787253459064,14124.416882748148,2986.923072363286,4591.99558418277
-100815.01910007992,83539.96922594703,3999.266804108822,5450.813493677708,1520.0641698377945
-25166.372272275454,23450.08150784201,5870.20428146093,-2381.360990797694,10586.4968098019
-100740.02243748122,83368.91522580513,4335.282547873018,5248.1289241649165,1676.838708767509
78543.03487816856,-131529.54902919816,-110166.06191225299,-18911.520762620064,-88830.80842762452
-100389.1988432787,82542.46544779079,4593.321400011434,5220.231916250362,2082.6646683396057
-100668.96185708565,82998.09697032369,4715.082844699555,5171.04531666166,1626.524807849886
-102579.01159078251,84306.27970046292,3950.5839127260506,5374.195627092532,2448.7929704714925
-100358.67457384925,82490.98283068005,3256.6324590421523,5000.610994662469,1188.07437307107
-57824.286034666315,46916.225389086285,-3626.6008153204575,5974.489311664705,13912.832285246404
-116279.60942523068,99620.47795905259,9042.561661329386,7044.687814642477,6463.374054145648
-99497.77817265892,81560.07104552604,3933.5195350398926,5113.534876731102,1291.0989882954827
-99201.80683464668,81426.35374815998,4159.494559139934,5267.439927085506,1294.6863932722176
-91940.38355995841,74401.32780251732,6738.332440917827,4345.280112237174,2401.102923615755
-100938.79242381603,82917.92837502595,4748.914757512581,5251.924449304756,1769.9848019363963
-100494.12842557115,82762.15045253557,4274.8316757186585,5452.408232679098,2000.718051985838
-101814.464635265,84615.09154252383,4909.527410273978,5568.186816905962,2196.1418512236196
-100994.44087304108,83185.64137043008,4462.451114253978,5016.2481084623105,1503.928862738193
-130543.88500150357,114706.46853226665,11061.54544693687,8417.508687529065,10344.378096306302
-102210.0796731865,85310.28970881848,4714.037579713959,5608.500807150617,2339.619488430918
-97034.35060315653,79608.59433855281,4272.720113080204,4775.256684120295,1588.9344126015883
-130543.88500150357,114706.46853226665,11061.54544693687,8417.508687529065,10344.378096306302
-100481.57578569837,82734.70226085145,4024.9933792083775,5402.096600072164,1519.7512610563651
-59151.03830805122,46310.515812427126,38382.0980897523,7638.869294393039,3708.1121491607864
-98299.85582419948,80557.68256151563,3245.72394036544,4942.113605171497,1932.1690103555852
-100692.09339556853,83017.87824926224,4463.14804850888,5323.555422557774,1903.2001781880333
-100351.32868732554,82359.14568916718,4119.226445964018,5018.758563735251,1303.281932021212
922184.3216420909,-798709.3849606195,490868.94346082263,-80083.12644143171,67408.03305697658
-100365.04019077525,82460.70513802707,4603.449433200225,5088.087307162198,1700.8996321034153
