Component 1,Component 2,Component 3,Component 4,Component 5
-64391.62736159896,-85172.62020554926,11130.13098136458,927.2721161943282,-2138.327007043599
-28675.794950313168,-31051.95031150413,-1396.2150065126418,-6214.932739037967,-3241.4846477602264
-64566.5676269002,-85584.09921542663,11254.396499647906,931.6278277659256,-2146.422076940023
-11128.303132224764,-13719.773251136778,-3946.7791570962763,-3754.82098467581,-2347.6910251303284
-63860.1489357953,-84000.89587558486,11059.011079544618,1112.8927694308913,-1981.6525293774625
12888.15872939045,88158.92119469956,44727.8418490364,51400.367641763354,29361.2685486105
-62857.854200038964,-82781.0001778692,10640.996497103908,625.6033938195526,-2273.303841844614
-64579.1760818302,-85427.02149800968,11209.57198178825,1004.5893779877332,-2101.4037424590215
-57655.52147253109,-72625.29477795554,9854.931635593652,2497.516897185702,-587.6566524881998
-63410.85983620394,-83689.85699912567,10723.4815716307,641.677572535258,-2147.7268654097406
-29532.604284802408,-34000.824531803795,1626.8554947845396,11718.145161629829,3883.469227903028
-62724.42084190677,-83011.94441051972,9840.7869801777,-693.6778007081166,-2900.84494410011
-64422.093925129,-85216.88355133886,10912.470920103962,655.0010661573318,-2244.182031344683
-64331.49100838045,-85086.30039202217,10868.984646230969,638.6628652744989,-2239.0721000600233
-52779.71352781854,-65643.1985088972,6826.250651174374,-1144.8688413113484,-1894.9014180988179
-64321.89962927838,-84937.67919398208,11137.351373286363,1045.773782022009,-2016.0217597894268
-64684.058170261196,-85673.90063084305,11171.836879241173,846.8239878304894,-2163.0012832483008
-63425.25459485497,-83830.23560617676,10700.737675285793,574.7381020100504,-2291.344709708297
-63234.8502749799,-83095.54242401298,10919.521016784101,1144.8336018856082,-1984.256627815332
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-64378.83309143825,-85312.00328685872,11226.258537963648,1031.260552398545,-2053.16012114118
-64461.1940961632,-85183.74323832463,11249.910992482037,1084.5998250798298,-2078.8895200060233
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-63534.15986679002,-84690.74219762615,10889.280592124118,797.9199779155815,-2229.716859134252
-24690.562135997632,-29456.66744543285,-9037.520025348998,-22122.131617799812,-10948.800438998473
-61084.26504485959,-79623.90745385016,11014.889531163719,2077.8062576273146,-1356.148185440041
-64123.391591702064,-84849.33916449208,10803.285640580267,551.8654220353848,-2074.730574448647
-62906.27255005091,-82235.89878303849,10772.254690221134,1502.8150861090126,-1845.8256729661707
685579.5311811548,929516.1802557432,-385434.8757696815,-431709.90505632793,-184878.92313186167
-62831.496154446184,-82768.62599288022,10753.224935204402,331.6604898860511,-1765.3481214795202
-64730.07496049807,-85707.27972762946,11183.079687478963,891.2745659728192,-2177.8635797433476
-56297.34345010272,-74232.43320335814,6893.532793752337,-3564.544768170863,-4090.9470695829
-60844.2558821389,-79444.46125867304,10449.475321065833,1276.4817607960633,-1816.0316361363532
