Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-100524.76390745754,82870.32850958826,4317.028694627964,5178.559360493454,2119.889064499602,-786.1632394308475,5153.9268583563035,2479.147499180927,5086.224418825945,-187.47428014313329
-100875.8941010136,83265.4033055894,4499.4238002957845,5320.019242855833,2025.7062554673562,-776.2204462545267,5072.813735870943,2464.2747392791,5266.680303081639,-38.32456016315464
-101384.38774411094,83938.36114285441,4641.276105867832,5397.330924784132,2234.397163249205,-872.7450727244976,5107.770235163816,2552.0839629649627,5551.976415779799,63.89719638716852
-83370.91218279395,67552.13036213617,7844.715735263962,4304.87010697356,3145.680569378935,-482.5385308264915,2213.4347361888,2364.5706014881607,5733.311734352513,1371.5982205141388
-101082.34212698477,83280.36009097868,4350.96653658674,5433.828308293644,1845.6881368880163,-1169.156560033929,5461.231567861429,2826.7048656332113,4903.904667083652,-62.86773950487806
-100732.53078423666,83089.67392746726,3732.812330998418,5013.525052081939,1843.914667391439,-817.4327565105656,5445.628386203179,2205.0459504494884,4863.549712502919,-326.5755293879324
-102479.5608946395,85024.92948226008,4870.861295941907,5400.254412497749,2218.9798696384846,-876.258485933211,4972.019465072278,2930.2412854892063,5731.351387516992,283.09510912519613
112790.31195511753,3228.4591682247387,-21559.8541228067,-4511.045253612904,5928.355048327019,-4424.663323467675,-32171.627295476515,32307.7116286267,20495.844652554886,-88.30169374057567
-101242.15399777282,83475.23966937879,4477.43509828097,5266.176806856164,1955.792454161416,-698.3866005789712,5767.627467223686,2812.2470990522766,4868.4443561921635,-93.90710149241536
-98410.19464975038,80255.81375354547,3598.1084962622426,4963.9750444388765,1119.504735729543,-534.269646434113,5760.797825161251,2743.9862105962025,3990.369869793888,-474.47931486081455
-100502.3135740506,82809.78595037597,5169.645060538066,5931.040722169626,1831.2872357654824,-992.3837270377445,5367.76007501541,2726.527406040373,4881.459470674323,-110.34496899460957
-101269.79024010708,83658.22363102954,4853.503074456016,5876.708252447211,2042.2631371262696,-957.67178241139,5349.061131830401,2846.722822189527,5217.20930368696,-70.26477451834283
-104104.5112901451,86914.33260947916,7618.719333425603,5625.659473374442,4794.300952279905,-386.2385516400093,2348.294384186837,1934.7975222274324,10628.770528323781,2224.9248729809747
