Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2,KOI Name
-6.060949802398682,13.227689743041992,0.002050769282504916,0.9794747233390808,1.1778349876403809,0.19473716616630554,1.5830463907085113,-0.5938349962234497,0.0,-3.739223094436866e-08,9.644319534301758,0.5891000032424927,0.7566701769828796,0.0,40.8065333,155.71586000000005,2454988.716,0.016,13.135,313.9,0.016,0.15947,3.71,0.264,89.96,772.0,83.75,24.123,0.328,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,8.064,31.338,54.8,2,34,0.004,-0.004,0.0002083,-0.0002083,6.2,-6.2,0.125,-0.125,0.401,-0.016,0.000417,-0.000188,0.101,-0.101,0.62,-1.0,112.0,-125.0,0.195,-0.105,0.15,-0.15,0.35,-0.569,-0.198,0.126,38.75,-42.76,0.00067,-0.06223,
-6.041110038757324,13.532690048217773,0.00926631223410368,0.9574403166770935,1.1104549765586853,0.2064540684223175,1.8301478398011781,-0.5533649921417236,0.0,-1.0313000966452759e-07,9.78689956665039,0.5550699830055237,0.6966347098350525,0.0,140.10765,216.21749,2455049.217,0.019,18.503,266.8,0.015,0.19495,3.42,0.601,89.98,511.0,16.17,58.7,0.328,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,6.421,14.671,29.0,2,9,0.01,-0.01,0.002,-0.002,9.6,-9.6,0.333,-0.333,0.3670000000000001,-0.019,0.0005059999999999999,-0.000244,5.4,-5.4,0.57,-0.93,112.0,-125.0,0.195,-0.105,0.15,-0.15,0.35,-0.569,-0.198,0.126,7.48,-8.25,0.01805,-0.04662,K00993.01
-26.686250686645508,7.049880027770996,-0.0327569842338562,1.00882089138031,0.0,-12.590848922729492,214.65844261972507,0.0,0.0,-2.38400319580302e-06,16.868064880371094,0.0,70.53485107421875,0.0,3.290304098,131.90944,2454964.909,0.09,1.7215,13552.6,0.105,7.28769,4.91,0.033,89.68,540.0,20.06,16.097,0.456,0.282,0.0,0.0,3386.0,4.81,0.48,0.4270000000000001,0.43,40.06,234.088,220.5,1,85,0.002,-0.002,4.432e-06,-4.432e-06,64.8,-64.8,0.013,-0.013,0.183,-0.09,0.0005269999999999999,-0.000922,0.114,-0.114,0.41,-0.11,103.0,-33.0,0.01,-0.02,0.05,-0.15,0.036000000000000004,-0.009000000000000001,-0.009000000000000001,0.046,6.53,-1.58,0.05143,-0.96909,
-4.770500183105469,16.43730926513672,0.020223425701260567,0.9779007434844971,1.1704599857330322,0.36337828636169434,2.5693662671950674,-0.5792399942874908,0.0,-1.7502391905970875e-07,10.603904724121094,0.5853899717330933,0.7010073661804199,0.0,462.12069,307.6255,2455140.626,0.002,10.42,633.7,0.023,3.69085,2.46,1.127,90.0,249.0,0.91,346.7,0.324,0.298,0.0,0.0,6079.0,4.4110000000000005,-0.5,0.974,0.892,5.917999999999998,7.762,9.9,1,3,0.026,-0.026,0.02,-0.02,81.2,-81.2,1.5,-1.5,0.462,-0.002,0.002,-0.002,84.0,-84.0,0.68,-0.37,163.0,-200.0,0.12,-0.18,0.3,-0.3,0.271,-0.146,-0.08900000000000001,0.109,0.75,-0.33,0.8938200000000001,-3.59873,K00993.03
-135.11904907226562,28.831939697265625,-0.3883569836616516,6.986758232116699,1.3633100092411041,-10.890921592712402,141.7686145960615,-0.7673699855804443,0.0,2.4389540182259407e-06,81.97549438476562,0.6888499855995178,19.476661682128906,0.0,77.36241475999998,139.095626,2454972.096,0.995,12.1317,96585.8,0.483,0.4868,41.66,0.336,88.94,362.0,4.08,53.602,0.4970000000000001,0.204,0.0,0.0,5359.0,4.57,-0.12,0.79,0.848,423.947,1495.851,1246.3,1,18,0.000241,-0.000241,2.216e-05,-2.216e-05,90.7,-90.7,0.012,-0.012,0.03,-0.035,0.021,-0.03,0.596,-0.596,7.54,-3.48,159.0,-159.0,0.037000000000000005,-0.112,0.3,-0.3,0.14300000000000002,-0.066,-0.087,0.087,2.31,-1.05,0.00541,-0.00633,
-8.237190246582031,34.16817092895508,0.0024579796008765697,0.9910211563110352,1.1704600155353546,1.0480339527130127,25.302571374066105,-0.6019650101661682,0.0,9.364161128494436e-08,21.202680587768555,0.5864400267601013,0.6819764375686646,0.0,3.02558494,134.36744,2454967.367,0.8390000000000001,3.0008,128.3,0.012,0.18203,1.62,0.042,79.13,1484.0,1148.47,4.45,0.35100000000000003,0.289,0.0,0.0,6123.0,4.263,-0.06,1.263,1.0659999999999998,3.977,20.524,23.8,2,440,0.003,-0.003,1.202e-05,-1.202e-05,5.9,-5.9,0.091,-0.091,0.035,-0.573,0.001,-0.001,2.1,-2.1,0.29,-0.25,122.0,-134.0,0.13699999999999998,-0.112,0.15,-0.15,0.232,-0.19,-0.073,0.109,592.8099999999997,-389.77,0.77489,-0.1354,
-14.298700332641602,14.300140380859375,0.010178876109421253,1.0059233903884888,1.1714900135993958,-0.3668934404850006,9.013773242842339,-0.5843450129032135,0.0,-6.187353040763372e-08,14.299420356750488,0.5855200290679932,0.808068037033081,0.0,145.56249259999996,146.0588,2454979.059,1.274,5.4126,2931.6,0.336,0.49639,40.15,0.536,89.11,387.0,5.33,82.2,0.307,0.306,0.0,0.0,6148.0,4.346,-0.3,1.095,0.969,31.368,49.257,58.1,1,9,0.002,-0.002,0.00034260000000000003,-0.00034260000000000003,57.1,-57.1,0.098,-0.098,70.86,-0.529,70.828,-0.518,41.1,-41.1,12.09,-6.53,165.0,-202.0,0.128,-0.192,0.3,-0.3,0.33,-0.17800000000000002,-0.114,0.153,4.7,-2.06,136.56581,-0.10583,K01008.01
-6.569429874420166,7.01324987411499,0.004982856102287769,0.977375328540802,1.1753850281238556,0.18162798881530762,1.3336167953381137,-0.5924600064754486,0.0,-2.1364056253625992e-07,6.791339874267578,0.5880699753761292,0.7589529752731323,0.0,317.74527,205.9582,2455038.958,0.787,17.54,206.6,0.014,0.13063,2.1,0.8390000000000001,89.49,336.0,3.03,88.7,0.308,0.3,0.0,0.0,6050.0,4.08,-0.94,1.3330000000000002,0.779,6.035,7.386,13.6,1,4,0.034,-0.034,0.017,-0.017,14.1,-14.1,1.4,-1.4,0.16,-0.536,0.001,-2.2e-05,44.0,-44.0,0.69,-0.83,181.0,-163.0,0.455,-0.195,0.3,-0.3,0.433,-0.529,-0.042,0.092,2.95,-2.04,1.03807,-0.09999,
-9.977470397949219,21.942520141601562,0.013262473978102207,1.003411889076233,1.1883600056171417,0.46093276143074036,5.6177316727894,-0.5959849953651428,0.0,-1.970758397475758e-08,15.95999526977539,0.5943999886512756,0.7018902897834778,0.0,3.43525124,132.6333,2454965.633,1.121,4.509,152.2,0.134,0.00541,25.43,0.047,41.65,1579.0,1468.73,1.5,0.405,0.264,0.0,0.0,5854.0,4.0139999999999985,0.12,1.742,1.143,4.552,10.048,6.3,1,388,0.012,-0.012,4.864e-05,-4.864e-05,19.2,-19.2,0.612,-0.612,9.179,-0.055,9.174,-0.052000000000000005,0.75,-0.75,3.9,-5.84,79.0,-79.0,0.202,-0.081,0.15,-0.15,0.267,-0.4,-0.107,0.131,592.34,-643.17,1.89499,-0.00048,K04224.01
-12.410699844360352,27.953689575195312,-0.018047165125608444,1.1514873504638672,1.2491949796676636,-0.46815240383148193,10.000832092327707,-0.6122599840164185,0.0,-2.7239409248346577e-08,20.182193756103516,0.6242700219154358,1.5733033418655396,0.0,18.622214000000003,141.6268,2454974.627,0.792,4.42,5832.0,0.077,0.70849,20.83,0.154,88.07,1101.0,347.32,23.5,0.32,0.305,0.0,0.0,6235.0,3.801,0.02,2.471,1.4069999999999998,17.796,100.061,20.1,1,77,0.053,-0.053,0.001,-0.001,302.0,-302.0,0.155,-0.155,0.11,-0.579,0.014,-0.008,11.1,-11.1,1.44,-1.05,84.0,-65.0,0.03,-0.02,0.15,-0.15,0.171,-0.124,-0.111,0.19,71.56999999999998,-46.85,2.00195,-0.42828,
